Equipment ID,Equipment Type,Purchase Date,Last Maintenance Date,Maintenance Status,Equipment Cost (CAD),Usage Hours,Location,Supplier,Warranty Expiry Date,Next Maintenance Due Date,Usage Days Since Last Maintenance,Usage Hours Since Last Maintenance,Time Since Last Maintenance (Days),Maintenance Frequency (Times),Failure History,Condition Rating,Failure Prediction (Target)
EQ00001,Seats,2017-09-06 0:00,2017-12-31 0:00,Needs Repair,45481.65,6835,Main Field,Turf Solutions,2017-11-24 0:00,2015-10-18 0:00,278,6682,2436,3,0,5,0
EQ00002,Cameras,2020-02-07 0:00,2019-09-22 0:00,Good,17821.95,2947,East Stand,Lighting Masters,2017-10-21 0:00,2016-02-18 0:00,122,2929,1806,6,0,7,0
EQ00003,Score Display,2016-04-11 0:00,2022-07-14 0:00,Replaced,45589.76,5231,East Stand,Audio Visual Experts,2016-10-03 0:00,2018-06-07 0:00,216,5178,780,5,0,9,0
EQ00004,Cameras,2023-01-26 0:00,2018-04-21 0:00,Good,23713.39,6316,West Stand,Sports Equipment Co.,2016-01-20 0:00,2017-07-30 0:00,259,6224,2325,1,0,7,0
EQ00005,Score Display,2021-02-25 0:00,2021-07-01 0:00,Replaced,35567.43,4534,North Stand,Goalkeepers Inc.,2017-02-10 0:00,2018-07-10 0:00,187,4499,1158,6,1,9,0
EQ00006,Score Display,2020-09-16 0:00,2021-11-15 0:00,Under Repair,34601.74,2556,North Stand,Audio Visual Experts,2019-01-01 0:00,2016-09-05 0:00,102,2447,1021,5,0,1,1
EQ00007,Cameras,2017-11-22 0:00,2022-09-04 0:00,Needs Repair,29387.88,9287,East Stand,Turf Solutions,2015-06-14 0:00,2017-04-29 0:00,384,9219,728,3,0,5,0
EQ00008,Goalpost,2017-03-21 0:00,2018-06-27 0:00,Under Repair,4704.87,9202,North Stand,Lighting Masters,2018-10-13 0:00,2018-02-14 0:00,383,9199,2258,2,1,2,1
EQ00009,Cameras,2020-04-06 0:00,2023-05-12 0:00,Needs Repair,25936.83,6215,East Stand,Field Systems Ltd.,2019-06-20 0:00,2016-06-18 0:00,253,6082,478,1,1,5,0
EQ00010,Field Marking Equipment,2015-09-23 0:00,2018-01-07 0:00,Good,45202.04,2180,West Stand,Goalkeepers Inc.,2019-09-23 0:00,2018-01-24 0:00,89,2144,2429,8,0,7,0
EQ00011,Audio System,2023-10-02 0:00,2017-11-01 0:00,Replaced,12085.31,7858,North Stand,Sports Equipment Co.,2017-01-12 0:00,2017-12-08 0:00,322,7739,2496,9,0,8,0
